                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9902,                 1.7229,                 1.7013,                0.52293,                0.40593,                0.38065,                0.13658,                  2.361,                 4.6618,                 2.1042,                0.00056,                0.00056,                0.00056
                      2,                 1.8349,                 1.2623,                 1.5939,                0.30978,                0.37185,                 0.2158,                0.06263,                 2.3191,                 3.2733,                 2.5934,              0.0010836,              0.0010836,              0.0010836
                      3,                 1.7994,                 1.2162,                 1.5795,                0.40597,                0.43111,                0.32961,                0.11915,                 2.7176,                 8.3243,                 2.4232,              0.0015497,              0.0015497,              0.0015497
                      4,                 1.7998,                 1.1281,                 1.5747,                0.59732,                0.53037,                0.55148,                0.17113,                 2.3987,                 4.7592,                 2.3254,               0.001703,               0.001703,               0.001703
                      5,                 1.7626,                 1.1144,                 1.5554,                0.61601,                0.51704,                0.48723,                0.17438,                 1.9212,                 2.3548,                 1.9054,               0.001604,               0.001604,               0.001604
                      6,                 1.7287,                 1.0628,                 1.5341,                0.62581,                0.52593,                0.57742,                0.19098,                 2.4826,                 4.0449,                 2.2866,               0.001505,               0.001505,               0.001505
                      7,                 1.6518,                0.99941,                 1.5006,                0.72786,                0.58222,                0.65026,                0.24851,                 1.8281,                 1.3574,                 1.7544,               0.001406,               0.001406,               0.001406
                      8,                 1.6287,                0.96742,                 1.4633,                0.70586,                0.65778,                0.72573,                0.27094,                  1.845,                 2.3897,                 1.6886,               0.001307,               0.001307,               0.001307
                      9,                 1.6391,                0.96725,                 1.4799,                0.70475,                0.67407,                0.76294,                0.28983,                 1.7397,                 1.5342,                 1.6324,               0.001208,               0.001208,               0.001208
                     10,                 1.6411,                0.94202,                  1.461,                0.67652,                0.65481,                0.73276,                0.26525,                 1.8846,                 1.4453,                 1.6907,               0.001109,               0.001109,               0.001109
                     11,                 1.5933,                0.90316,                 1.4935,                0.77649,                0.66222,                0.75449,                 0.3112,                  2.171,                 2.4238,                 1.8471,                0.00101,                0.00101,                0.00101
                     12,                 1.5545,                0.86961,                 1.4751,                0.78053,                0.70667,                0.79742,                0.33433,                 1.9633,                 1.2734,                 1.6784,               0.000911,               0.000911,               0.000911
                     13,                 1.5289,                0.81795,                 1.4491,                0.79194,                0.73873,                0.81039,                0.33539,                 2.2661,                 1.0163,                 2.1305,               0.000812,               0.000812,               0.000812
                     14,                 1.5209,                0.80732,                 1.4486,                0.82221,                0.74677,                0.82997,                 0.3462,                 2.0301,                 1.2647,                 1.7922,               0.000713,               0.000713,               0.000713
                     15,                 1.4871,                 0.7865,                 1.4306,                0.79324,                0.73333,                0.81077,                 0.3351,                 1.7516,                0.90249,                 1.5949,               0.000614,               0.000614,               0.000614
                     16,                 1.4547,                0.75085,                 1.4017,                0.84608,                0.74921,                0.83552,                0.33349,                 1.6677,                0.86152,                 1.5604,               0.000515,               0.000515,               0.000515
                     17,                 1.4419,                0.74352,                 1.3946,                0.85704,                0.78157,                0.84354,                0.35609,                 1.6479,                0.81044,                 1.5139,               0.000416,               0.000416,               0.000416
                     18,                 1.4147,                0.71572,                 1.3898,                0.84737,                0.77778,                0.84434,                0.36758,                 1.5732,                0.81893,                  1.541,               0.000317,               0.000317,               0.000317
                     19,                 1.3747,                0.68765,                 1.3445,                0.85189,                0.77481,                0.84505,                0.37325,                 1.7056,                0.79641,                 1.5719,               0.000218,               0.000218,               0.000218
                     20,                 1.3611,                 0.6778,                 1.3502,                 0.8598,                0.76315,                0.85198,                 0.3663,                  1.576,                0.76823,                 1.5311,               0.000119,               0.000119,               0.000119
